Year,Entity,Pred_Prevalence_Schizophrenia,Pred_Prevalence_Depression,Pred_Prevalence_Anxiety,Pred_Prevalence_Bipolar,Pred_Prevalence_Eating
2020,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2021,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2022,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2023,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2024,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2025,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2026,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2027,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2028,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2029,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2030,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2031,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2032,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2033,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2034,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2035,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2036,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2037,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2038,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2039,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2040,Afghanistan,0.21788318169999996,4.942943596000009,4.833527510999996,0.6996332885999995,0.11684894968999991
2020,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2021,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2022,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2023,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2024,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2025,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2026,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2027,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2028,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2029,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2030,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2031,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2032,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2033,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2034,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2035,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2036,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2037,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2038,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2039,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2040,Africa (IHME GBD),0.22105329100000023,4.459454099000001,3.7007368309999986,0.6019039404000007,0.12214351555000015
2020,Albania,0.28742563080000044,2.4557859799999986,3.829829589000001,0.5421109389000006,0.1358502654400001
2021,Albania,0.28742563080000044,2.4557859799999986,3.829829589000001,0.5421109389000006,0.1358502654400001
2022,Albania,0.28742563080000044,2.4557859799999986,3.829829589000001,0.5421109389000006,0.1358502654400001
2023,Albania,0.28742563080000044,2.4557859799999986,3.829829589000001,0.5421109389000006,0.1358502654400001
2024,Albania,0.28742563080000044,2.4557859799999986,3.829829589000001,0.5421109389000006,0.1358502654400001
2025,Albania,0.28742563080000044,2.4557859799999986,3.829829589000001,0.5421109389000006,0.1358502654400001
2026,Albania,0.28742563080000044,2.4557859799999986,3.829829589000001,0.5421109389000006,0.1358502654400001
