Year,Entity,Pred_Prevalence_Schizophrenia,Pred_Prevalence_Depression,Pred_Prevalence_Anxiety,Pred_Prevalence_Bipolar,Pred_Prevalence_Eating
2025-01-01,Africa (IHME GBD),0.22228267175004646,4.483395299508827,3.6819645550517257,0.6014121001419117,0.12318477816296204
2026-01-01,Africa (IHME GBD),0.22240771291636666,4.485719765314521,3.680733629463092,0.6014121001419117,0.12326597571926753
2027-01-01,Africa (IHME GBD),0.2225210300042215,4.487789219030482,3.6797531958002367,0.6014121001419117,0.12334196517724612
2028-01-01,Africa (IHME GBD),0.2226237222837146,4.489631637478633,3.6789722792475748,0.6014121001419117,0.12341308058990895
2029-01-01,Africa (IHME GBD),0.22271678595546202,4.491271928204589,3.6783502783052104,0.6014121001419117,0.12347963458374886
2030-01-01,Africa (IHME GBD),0.22280112381456746,4.4927322662012905,3.6778548538312594,0.6014121001419117,0.12354191973306022
2031-01-01,Africa (IHME GBD),0.2228775540084867,4.4940323936914135,3.6774602476616023,0.6014121001419117,0.12360020984610844
2032-01-01,Africa (IHME GBD),0.22294681797373897,4.495189887021309,3.677145943388562,0.6014121001419117,0.12365476116880315
2033-01-01,Africa (IHME GBD),0.22300958762845868,4.496220394274582,3.6768955996695643,0.6014121001419117,0.12370581351116663
2034-01-01,Africa (IHME GBD),0.2230664718905606,4.497137846817608,3.6766962006062447,0.6014121001419117,0.12375359130154917
2035-01-01,Africa (IHME GBD),0.22311802258475086,4.497954647636847,3.6765373790204188,0.6014121001419117,0.12379830457322602
2036-01-01,Africa (IHME GBD),0.2231647397956858,4.498681839014081,3.6764108774426068,0.6014121001419117,0.12384014988771294
2037-01-01,Africa (IHME GBD),0.22320707671920978,4.499329251806365,3.676310118788764,0.6014121001419117,0.12387931119885931
2038-01-01,Africa (IHME GBD),0.22324544405873206,4.4999056383488,3.6762298644038007,0.6014121001419117,0.12391596066151736
2039-01-01,Africa (IHME GBD),0.2232802140093919,4.500418790776833,3.676165941692845,0.6014121001419117,0.1239502593883425
2040-01-01,Africa (IHME GBD),0.2233117238686613,4.500875646367674,3.67611502717923,0.6014121001419117,0.12398235815805168
2020-01-01,Albania,0.28762763495398325,2.471457099238887,3.8558702051673905,0.5419830512824545,0.1378243482823728
2021-01-01,Albania,0.28774056623067085,2.4812528512741117,3.868752132819981,0.5419772225946959,0.13897235496190077
2022-01-01,Albania,0.287840959648816,2.4897793855800203,3.8778038384024516,0.5419758928371092,0.14009308395653103
2023-01-01,Albania,0.28793020718680984,2.4972011523834685,3.8841641732965275,0.5419755894660396,0.1411871834089152
2024-01-01,Albania,0.28800954628278963,2.503661294395281,3.8886333707970673,0.5419755202549242,0.14225528606124488
2025-01-01,Albania,0.2880800769920102,2.5092844075862533,3.89177372844041,0.5419755044650914,0.14329800962118056
2026-01-01,Albania,0.288142777239369,2.5141789442544358,3.8939803541549614,0.5419755008627968,0.14431595711908576
2027-01-01,Albania,0.2881985163785652,2.518439304731377,3.895530877247273,0.5419755000409688,0.1453097172567731
2028-01-01,Albania,0.2882480672458936,2.5221476580697986,3.896620378671977,0.5419754998534769,0.14627986474796356
2029-01-01,Albania,0.2882921168758018,2.5253755268280913,3.897385935380108,0.5419754998107025,0.14722696065065638
2030-01-01,Albania,0.2883312760267849,2.5281851665171713,3.8979238668229454,0.541975499800944,0.14815155269160146
2031-01-01,Albania,0.2883660876496954,2.5306307663149243,3.898301853501293,0.5419754997987176,0.14905417558306194
2032-01-01,Albania,0.2883970344158852,2.5327594942062674,3.8985674522702642,0.5419754997982097,0.14993535133205035
2033-01-01,Albania,0.2884245454095573,2.53461240670632,3.89875407976303,0.5419754997980938,0.15079558954221686
2034-01-01,Albania,0.2884490020771194,2.5362252407124006,3.898885216745294,0.5419754997980674,0.1516353877085645
2035-01-01,Albania,0.2884707435160282,2.5376291027572067,3.8989773623764794,0.5419754997980614,0.15245523150516166
2036-01-01,Albania,0.2884900711764556,2.5388510689567143,3.8990421100715986,0.54197549979806,0.15325559506601827
